Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27
하      나,"391,998","10,801,453,053","123,676","2,736,040,527","2,809","76,411,439",860,"356,390,080","127,345","3,168,842,046",337,"7,365,198","19,987","144,343,266",16,"487,378,582","10,969","250,558,390","27,393","922,844,322","6,344","169,740,858","65,046","1,982,230,617","454,297","11,988,064,482"
BNP파리바카디프,"93,272","4,303,942,883","37,862","1,627,013,459",899,"52,552,739",134,"9,514,800","38,895","1,689,080,998",124,"9,214,699","12,875","324,952,656",0,0,"6,318","380,867,152","14,477","714,618,381","5,982","100,070,565","39,776","1,529,723,453","92,391","4,463,300,428"
A      B      L,"1,709,474","45,577,035,055","259,923","3,215,992,065","1,706","76,686,163","9,534","356,034,721","271,163","3,648,712,949","4,721","83,268,822","21,244","613,552,245",1,"115,795","36,986","800,267,926","91,908","2,914,841,847","14,198","305,439,926","169,058","4,717,486,561","1,811,579","44,508,261,443"
메트라이프,"1,564,113","67,795,965,630","211,776","8,918,567,942","3,276","143,341,441","11,693","571,312,917","226,745","9,633,222,300","2,429","82,470,035","16,367","214,387,571",3,"5,317","35,513","1,672,963,394","87,811","4,469,924,924","10,874","768,980,451","152,997","7,208,731,692","1,637,861","70,220,456,238"
처브라이프,"122,760","4,060,609,867","7,119","312,959,836",71,"2,694,000","1,910","61,139,080","9,100","376,792,916",184,"5,199,003","4,431","83,530,488",0,0,"5,425","173,025,080","6,722","215,183,302",513,"26,808,567","17,275","503,746,440","114,585","3,933,656,343"
라    이    나,"6,526,326","119,362,953,133","824,556","8,280,500,113","30,851","521,050,810","9,047","189,056,169","864,454","8,990,607,092","24,441","302,187,812","167,822","2,288,501,750",0,0,"378,484","5,920,505,441","518,746","8,193,229,703","36,162","518,875,556","1,125,655","17,223,300,262","6,265,125","111,130,259,963"
A      I      A,"4,023,332","112,996,726,590","407,574","17,900,475,345","16,619","620,157,029","56,854","2,253,876,748","481,047","20,774,509,121","12,203","230,265,348","62,252","4,722,620,955",0,0,"179,138","6,566,236,665","199,461","6,537,204,638","91,931","3,475,969,238","544,985","21,532,296,843","3,959,394","112,238,938,868"
I      B      K,"411,271","14,169,344,002","35,858","2,351,898,030",492,"24,387,000","17,868","1,384,063,744","54,218","3,760,348,774",270,"18,953,420",291,"10,629,600","22,264","214,807,195","1,646","98,060,160","25,344","1,869,070,888","17,390","251,682,407","67,205","2,463,203,670","398,284","15,466,489,106"
농      협,"4,843,750","105,116,984,567","1,403,070","20,013,915,188","4,894","131,993,714","9,951","332,706,167","1,417,915","20,478,615,069","17,121","326,584,997","1,000,218","11,009,004,529",0,0,"41,655","938,182,499","277,094","6,023,927,817","9,311","230,114,979","1,345,399","18,527,814,821","4,916,266","107,067,784,815"
교보라이프플래닛,"217,958","6,960,606,912","110,055","1,408,695,152",131,"8,176,069",618,"35,348,300","110,804","1,452,219,521",86,"4,148,649","82,967","224,343,176",0,0,"2,405","134,337,297","6,128","278,023,077",502,"37,241,196","92,088","678,093,395","236,674","7,734,733,038"
합           계,"85,287,626","2,337,125,799,809","14,480,947","217,337,700,583","129,449","3,926,347,267","1,716,514","41,868,732,680","16,326,910","263,132,780,529","156,870","3,513,387,671","5,368,281","54,554,813,781","308,854","7,253,875,900","2,061,725","51,705,972,849","4,676,824","144,590,292,275","1,648,748","30,371,050,917","14,221,302","291,989,393,392","87,393,234","2,308,269,186,947"
전년 동월,"84,487,149","2,374,029,259,137","13,946,685","235,424,350,981","128,814","4,011,797,760","1,978,382","32,399,726,968","16,053,881","271,835,875,705","153,448","3,430,662,003","5,904,531","61,018,911,522","372,719","6,300,680,890","1,935,134","54,191,559,924","5,056,919","156,850,910,215","1,830,584","26,946,631,974","15,253,335","308,739,356,526","85,287,695","2,337,125,778,318"
