Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27
보험계약성적표(회사별),,,,,,,,,,,,,,,,,,,,,,,,,,
2025.01.01 ~ 2025.12.31,,보험회사 : 전체,,,,,,,,,,,,,,,,,,,,,,,,"(단위 : 건, 천원)"
구분,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표,보험계약성적표
구분,연초보유계약,연초보유계약,증가계약,증가계약,증가계약,증가계약,증가계약,증가계약,증가계약,증가계약,감소계약,감소계약,감소계약,감소계약,감소계약,감소계약,감소계약,감소계약,감소계약,감소계약,감소계약,감소계약,감소계약,감소계약,당월말보유계약,당월말보유계약
구분,연초보유계약,연초보유계약,신계약,신계약,부활,부활,기타증가,기타증가,증가계,증가계,보험사고,보험사고,만기,만기,퇴직,퇴직,미납실효,미납실효,해약,해약,기타감소,기타감소,감소계,감소계,당월말보유계약,당월말보유계약
구분,건수,금액,건수,금액,건수,금액,건수,금액,건수,금액,건수,금액,건수,금액,건수,금액,건수,금액,건수,금액,건수,금액,건수,금액,건수,금액
한      화,"12,115,967","306,527,881,248","1,745,183","24,546,317,705","6,991","256,101,811","698,398","6,702,305,159","2,450,572","31,504,724,675","19,820","485,891,724","612,020","5,807,042,656","10,599","657,146,606","289,254","6,180,915,437","552,287","16,738,349,674","597,557","4,157,711,157","2,081,537","34,027,057,254","12,485,002","304,005,548,669"
삼      성,"19,404,396","605,260,507,199","3,309,652","35,024,275,573","9,367","392,725,291","28,134","15,554,697,201","3,347,153","50,971,698,064","27,687","803,095,762","1,092,934","8,539,025,970","155,804","3,160,326,523","312,637","8,429,569,583","859,554","33,533,453,174","42,642","9,345,589,747","2,491,258","63,811,060,760","20,260,291","592,421,144,503"
흥      국,"2,842,340","59,831,625,347","508,748","3,760,772,882","5,377","103,993,187","40,670","864,709,797","554,795","4,729,475,866","5,707","92,244,218","49,444","1,233,658,593","26,380","16,505,176","90,279","1,137,997,008","159,244","3,892,309,014","58,901","592,757,546","389,955","6,965,471,554","3,007,180","57,595,629,659"
교      보,"9,669,029","308,077,005,092","1,611,725","35,953,120,884","4,684","227,151,188","184,305","5,366,429,733","1,800,714","41,546,701,805","15,238","429,108,553","727,369","11,093,946,056","40,926","1,101,523,638","174,352","6,066,459,031","555,111","20,128,373,249","113,812","2,318,506,789","1,626,808","41,137,917,315","9,842,935","308,485,789,583"
푸 본  현 대,"2,017,728","27,632,307,036","1,411,040","4,725,181,510",546,"16,608,821","100,258","2,846,603,923","1,511,844","7,588,394,254","1,137","27,785,804","1,079,887","2,964,420,810","14,911","471,243,928","16,254","429,531,665","59,164","4,282,169,498","96,170","357,684,623","1,267,523","8,532,836,328","2,262,049","26,687,864,962"
신      한,"6,662,924","181,660,251,146","976,902","16,240,094,527","21,858","634,978,673","30,570","674,358,664","1,029,330","17,549,431,865","6,989","163,851,723","215,571","1,455,028,510","2,207","53,623,483","227,696","5,932,589,428","311,198","9,830,930,446","141,567","3,114,492,042","905,228","20,550,515,632","6,787,026","178,659,167,378"
D      G      B,"549,614","15,638,413,330","42,584","1,868,112,134","1,003","29,638,609",301,"13,199,287","43,888","1,910,950,030",697,"17,878,430","6,700","169,441,900",93,"930,000","7,208","301,736,430","28,617","1,280,021,097","1,109","54,718,643","44,424","1,824,726,500","549,078","15,724,636,860"
K      D      B,"1,635,641","45,501,982,247","138,728","2,644,169,810","1,588","59,573,013","5,534","212,381,342","145,850","2,916,124,165","3,836","79,863,628","32,508","703,101,150",63,"712,035","24,697","746,068,235","91,830","2,940,228,579","11,868","487,523,377","164,802","4,957,497,004","1,616,689","43,460,609,408"
미 래 에 셋,"2,891,153","80,056,108,334","390,011","8,985,534,896","2,440","112,153,623","354,896","728,589,514","747,347","9,826,278,033","4,408","113,101,418","21,716","618,898,358","21,435","477,700,588","41,554","1,493,627,833","273,547","6,429,414,547","307,803","964,258,345","670,463","10,097,001,089","2,968,037","79,785,385,279"
K              B,"1,703,092","84,699,529,268","283,071","8,865,213,596","4,184","228,658,104","13,356","1,687,428,654","300,611","10,781,300,354","1,587","78,782,530","64,075","624,968,699",0,"45,202,057","29,172","1,678,921,318","103,720","6,069,260,518","24,836","1,921,906,575","223,390","10,419,041,697","1,780,313","85,061,787,925"
D              B,"1,588,605","44,198,759,191","170,780","3,636,062,452","3,015","75,718,847","5,845","395,873,840","179,640","4,107,655,139","2,426","50,108,436","14,062","201,345,148","11,379","89,905,493","41,804","905,583,626","94,501","2,552,749,044","13,295","564,631,630","177,467","4,364,323,377","1,590,778","43,942,090,953"
동      양,"4,302,883","86,895,808,679","471,054","4,322,786,957","6,648","131,595,696","135,778","1,272,712,840","613,480","5,727,095,493","5,422","102,017,462","63,541","1,508,069,695","2,773","476,749,484","108,279","1,467,969,251","332,967","4,774,164,536","45,981","606,346,700","558,963","8,935,317,128","4,357,400","83,687,587,044"
